,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
122,Tropical Storm Fernand (2019),https://en.wikipedia.org/wiki/Tropical_Storm_Fernand_(2019),"Tropical Storm Fernand occurred from September 3, 2019 to September 5, 2019.",The areas affected by Tropical Storm Fernand were Northern Mexico and South Texas.,"The text mentions that over 400 schools sustained damages as a result of effects from the storm, and initial damage in Nuevo Leon was estimated to be MX$7.5 billion (US$383 million).",One death was confirmed caused by Tropical Storm Fernand.,The text does not explicitly mention the number of people who became homeless or displaced.,"The text mentions several incidents of people being affected by floodwaters, but does not provide a specific number of people who were injured.","The initial damage in Nuevo Leon was estimated to be MX$7.5 billion (US$383 million), but later found to be just MX$222 million (US$11.3 million).",The text mentions that over 400 schools sustained damages as a result of effects from the storm.
123,Tropical Storm Matthew (2010),https://en.wikipedia.org/wiki/Tropical_Storm_Matthew_(2010),"Tropical Storm Matthew (2010) occurred from September 23, 2010 to September 28, 2010.","Tropical Storm Matthew (2010) affected Venezuela, Central America, Mexico, and Jamaica.","At least 100 people were confirmed dead throughout Central America and southern Mexico. More than 1,000 families, some 6,200 people fled dangerous situations because of the rains in Nicaragua alone, seeking refuge in 72 active shelters.",At least 126 deaths were confirmed caused by Tropical Storm Matthew (2010) in total.,"More than 1,000 families, some 6,200 people fled dangerous situations because of the rains in Nicaragua alone, seeking refuge in 72 active shelters.",NULL,The economic loss or damage in USD due to Tropical Storm Matthew (2010) was $171 million (2010 USD) in total.,"Part of a hill collapsed on a length of 656 ft (200 m), destroying more than 300 houses."
124,Tropical Storm Doria,https://en.wikipedia.org/wiki/Tropical_Storm_Doria,"Tropical Storm Doria occurred from August 20, 1971 to August 29, 1971.",The areas affected by Tropical Storm Doria include the East Coast of the United States and Canada.,The text does not explicitly mention the total number of people affected by Tropical Storm Doria.,Tropical Storm Doria caused seven deaths.,The text does not explicitly mention the total number of people who became homeless or displaced due to Tropical Storm Doria.,The text does not explicitly mention the total number of people who were injured related to Tropical Storm Doria.,The economic loss or damage due to Tropical Storm Doria was $147.6 million in 1971 USD.,The text does not explicitly mention the total number of buildings damaged or destroyed by Tropical Storm Doria.
125,Typhoon Man-yi (2013),https://en.wikipedia.org/wiki/Typhoon_Man-yi_(2013),"Typhoon Man-yi (2013) occurred from September 11, 2013 to September 20, 2013.",Japan was the area affected by Typhoon Man-yi (2013).,"Over 70 people were injured and at least one person was killed. Many homes were flooded and about 80,000 were without electricity in western and central Japan.",6 deaths were confirmed caused by Typhoon Man-yi (2013) in total.,"At least 6 people were reported dead and 6 missing, and many homes were flooded.",Over 70 people were injured.,The total loss reached $1.62 billion (2013 USD).,"Many homes were flooded and about 80,000 were without electricity in western and central Japan."
126,Great Flood of 1771,https://en.wikipedia.org/wiki/Great_Flood_of_1771,The Great Flood of 1771 occurred from 16 and 17 November 1771.,"The areas affected by the Great Flood of 1771 include the rivers Tyne, Tees, Wear, and Eden, as well as settlements across northern England.",25 people died and many more were left homeless or displaced due to the flood.,A total of 25 people died as a result of the Great Flood of 1771.,"Many buildings were affected, six houses were destroyed, and many more were left uninhabitable, leaving numerous people homeless or displaced.",The text does not provide specific information about the number of people who were injured.,The text does not provide specific information about the economic loss in USD or other currencies.,"Thirteen or fourteen bridges, including Hexham Bridge, were destroyed, as well as Elvet Bridge and Prebends Bridge. Additionally, the city's Corn Mill was badly damaged and needed to be rebuilt."
127,Tropical Depression One (1988),https://en.wikipedia.org/wiki/Tropical_Depression_One_(1988),"Tropical Depression One occurred from May 31, 1988 to June 2, 1988.",The areas affected by Tropical Depression One were Cuba and Florida.,"About 90,000 people were affected by Tropical Depression One.",A total of 37 deaths were confirmed to be caused by Tropical Depression One.,"Approximately 65,000 residents were evacuated from low-lying areas due to the flooding caused by the depression.",The text does not provide specific information about the number of people who were injured.,The text does not provide specific information about the economic loss or damage in USD or other currencies.,"Over 1,000 houses were damaged by the flooding, with about 5,700 houses damaged in Camaguey and 200 destroyed. Additionally, 15 schools and hospitals, as well as several crop buildings, were damaged."
128,Hurricane Matthew,https://en.wikipedia.org/wiki/Hurricane_Matthew,"Hurricane Matthew occurred from September 28, 2016 to October 10, 2016.","Hurricane Matthew affected the Windward Islands, Leeward Antilles, Venezuela, Colombia, Greater Antilles (Jamaica, Hispaniola, Puerto Rico, Cuba), Lucayan Archipelago (Turks and Caicos Islands, The Bahamas), Southeastern United States, and Atlantic Canada.","Approximately 2.1 million people were affected by the storm, of whom 1.4 million (12 percent of Haiti's population) were left in need of assistance.",A total of 603 deaths were confirmed caused by Hurricane Matthew in total.,"Roughly 175,000 people were left homeless due to Hurricane Matthew.",There were 439 people injured due to Hurricane Matthew.,The economic loss or damage due to Hurricane Matthew in total was estimated to be $16.5 billion (2016 USD).,"It is mentioned that an estimated 100,000 structures were flooded across the state and damage reached US$1.5 billion."
129,January 2013 Northwest Pacific cyclone,https://en.wikipedia.org/wiki/January_2013_Northwest_Pacific_cyclone,"The January 2013 Northwest Pacific cyclone occurred from January 13, 2013, to January 21, 2013.","The areas affected by January 2013 Northwest Pacific cyclone were Taiwan, Japan, and the Russian Far East.",About 1600 injuries were recorded in Japan.,One fatality was confirmed due to the January 2013 Northwest Pacific cyclone.,NULL,About 1600 injuries were recorded in Japan.,NULL,"A large chunk of frozen snow fell from the Tokyo Skytree and crashed into the roof of a house below, leaving a 30 cm (12 in) hole."
130,2022 European drought,https://en.wikipedia.org/wiki/2022_European_drought,During the summer of 2022,"Parts of Europe, including Germany, Northern Italy, South East England, South West England, Cornwall, South West Wales, North Ceredigion, Teifi, Pembrokeshire, Carmarthen, Swansea, Llanelli, Neath Port Talbot, Bridgend, and Suffolk",NULL,Drought was blamed for the deaths of dozens of cows,NULL,NULL,NULL,NULL
131,2003 Atlantic hurricane season,https://en.wikipedia.org/wiki/Hurricane_Danny_(2003),"The 2003 Atlantic hurricane season occurred from April 20, 2003 to December 11, 2003.","The areas affected by the 2003 Atlantic hurricane season included North Carolina, Mid-Atlantic region of the United States, Bermuda, Nova Scotia, Texas, Mexico, Dominican Republic, Louisiana, Florida, Windward Islands, Barbados, Bermuda, Newfoundland, Oklahoma, Missouri, Delaware, Pennsylvania, Atlantic Canada, southwestern Mexico, eastern Dominican Republic, Turks and Caicos Islands, Puerto Rico, and the Dominican Republic.",More than 60 million people were affected to some degree by Hurricane Isabel.,A total of 93 deaths were confirmed to be caused by the 2003 Atlantic hurricane season.,The 2003 Atlantic hurricane season left about 6 million people without power as a result of Hurricane Isabel.,NULL,The total damage from the 2003 Atlantic hurricane season was $4.42 billion (2003 USD).,"Hurricane Isabel caused damage to over 800,000 buildings."
132,Storm Carmel,https://en.wikipedia.org/wiki/Storm_Carmel,Date of impact: 16 December 2021 - 22 December 2021,"Area affected: Greece, Cyprus, Israel",NULL,"Fatalities: 4 dead, 1 Injured","Two homeless people died in the coastal city of Bat Yam and another in Tel Aviv, from hypothermia.","Another death happened because of a car accident caused by torrential rains, bringing the death toll up to 4.",NULL,NULL
133,Hurricane Rick (2021),https://en.wikipedia.org/wiki/Hurricane_Rick_(2021),"Hurricane Rick (2021) occurred from October 22, 2021 to October 25, 2021.",The areas affected by Hurricane Rick (2021) include Southwestern and Western Mexico.,"One confirmed fatality in Mexico, 37 homes flooded in Guerrero, 42 families seeking shelter, 75 trees uprooted statewide, and 6 roads destroyed.",One confirmed fatality caused by Hurricane Rick (2021) in total.,42 families seeking shelter due to flooding caused by Hurricane Rick (2021).,NULL,Hurricane Rick (2021) caused over $26 million (2021 USD) in damages.,"37 homes flooded in Guerrero, 30 in the municipality of Tecpan de Galeana, and 5 in Acapulco."
134,Hurricane Kenneth (2005),https://en.wikipedia.org/wiki/Hurricane_Kenneth_(2005),"Hurricane Kenneth (2005) occurred from September 14, 2005 to September 30, 2005.",The areas affected by Hurricane Kenneth (2005) included Hawaii.,NULL,None,NULL,NULL,Unspecified,NULL
135,Tropical Storm Charley (1998),https://en.wikipedia.org/wiki/Tropical_Storm_Charley_(1998),"Tropical Storm Charley (1998) occurred from August 21, 1998 to August 24, 1998.",The areas affected by Tropical Storm Charley (1998) were Texas and Mexico.,"Over 2000 homes were destroyed in Texas, and over 450 houses were damaged in Mexico.","Twenty people died in total, all from drowning.","Roughly 2000 houses, mobile homes, and apartments combined were destroyed by flooding in Val Verde County, Texas.",Over 2000 people were injured in Mexico.,The economic loss or damage was $50 million (1998 USD; US$64 million in 2007).,"Over 2000 houses, mobile homes, and apartments combined were destroyed by flooding in Val Verde County, Texas."
